,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:59:52.411000,VER,1,0 days 00:01:31.677000,1.0,1.0,,,,38.489,32.363,,0 days 00:59:20.279000,0 days 00:59:52.515000,284.0,293.0,213.0,307.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:58:20.522000,2025-12-07 13:03:27.585,1,1.0,False,,False,False,91.677,
1,0 days 01:01:21.528000,VER,1,0 days 00:01:29.117000,2.0,1.0,,,18.085,38.383,32.649,0 days 01:00:10.571000,0 days 01:00:48.954000,0 days 01:01:21.603000,283.0,294.0,211.0,303.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:59:52.411000,2025-12-07 13:04:59.474,1,1.0,False,,False,True,89.117,89.117
2,0 days 01:02:51.083000,VER,1,0 days 00:01:29.555000,3.0,1.0,,,18.197,38.495,32.863,0 days 01:01:39.800000,0 days 01:02:18.295000,0 days 01:02:51.158000,281.0,294.0,212.0,304.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 01:01:21.528000,2025-12-07 13:06:28.591,1,1.0,False,,False,True,89.555,89.55499999999999
3,0 days 01:04:20.646000,VER,1,0 days 00:01:29.563000,4.0,1.0,,,18.253,38.441,32.869,0 days 01:03:09.411000,0 days 01:03:47.852000,0 days 01:04:20.721000,,296.0,211.0,306.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:02:51.083000,2025-12-07 13:07:58.146,1,1.0,False,,False,True,89.563,89.563
4,0 days 01:05:50.341000,VER,1,0 days 00:01:29.695000,5.0,1.0,,,18.142,38.529,33.024,0 days 01:04:38.863000,0 days 01:05:17.392000,0 days 01:05:50.416000,283.0,295.0,211.0,305.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:04:20.646000,2025-12-07 13:09:27.709,1,1.0,False,,False,True,89.695,89.69500000000001
5,0 days 01:07:20.113000,VER,1,0 days 00:01:29.772000,6.0,1.0,,,18.25,38.579,32.943,0 days 01:06:08.666000,0 days 01:06:47.245000,0 days 01:07:20.188000,,296.0,211.0,306.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:05:50.341000,2025-12-07 13:10:57.404,1,1.0,False,,False,True,89.772,89.77199999999999
6,0 days 01:08:49.857000,VER,1,0 days 00:01:29.744000,7.0,1.0,,,18.187,38.496,33.061,0 days 01:07:38.375000,0 days 01:08:16.871000,0 days 01:08:49.932000,,298.0,211.0,308.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:07:20.113000,2025-12-07 13:12:27.176,1,1.0,False,,False,True,89.744,89.744
7,0 days 01:10:19.458000,VER,1,0 days 00:01:29.601000,8.0,1.0,,,18.136,38.42,33.045,0 days 01:09:08.068000,0 days 01:09:46.488000,0 days 01:10:19.533000,284.0,297.0,211.0,306.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:08:49.857000,2025-12-07 13:13:56.920,1,1.0,False,,False,True,89.601,89.601
8,0 days 01:11:48.871000,VER,1,0 days 00:01:29.413000,9.0,1.0,,,18.146,38.494,32.773,0 days 01:10:37.679000,0 days 01:11:16.173000,0 days 01:11:48.946000,283.0,297.0,210.0,306.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:10:19.458000,2025-12-07 13:15:26.521,1,1.0,False,,False,True,89.413,89.41300000000001
9,0 days 01:13:18.336000,VER,1,0 days 00:01:29.465000,10.0,1.0,,,18.12,38.396,32.949,0 days 01:12:07.066000,0 days 01:12:45.462000,0 days 01:13:18.411000,284.0,295.0,209.0,307.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:11:48.871000,2025-12-07 13:16:55.934,1,1.0,False,,False,True,89.465,89.465
10,0 days 01:14:47.874000,VER,1,0 days 00:01:29.538000,11.0,1.0,,,18.143,38.496,32.899,0 days 01:13:36.554000,0 days 01:14:15.050000,0 days 01:14:47.949000,,297.0,210.0,306.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:13:18.336000,2025-12-07 13:18:25.399,1,1.0,False,,False,True,89.538,89.53800000000001
11,0 days 01:16:17.417000,VER,1,0 days 00:01:29.543000,12.0,1.0,,,18.12,38.567,32.856,0 days 01:15:06.069000,0 days 01:15:44.636000,0 days 01:16:17.492000,,296.0,211.0,306.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:14:47.874000,2025-12-07 13:19:54.937,1,1.0,False,,False,True,89.543,89.543
12,0 days 01:17:47.050000,VER,1,0 days 00:01:29.633000,13.0,1.0,,,18.044,38.531,33.058,0 days 01:16:35.536000,0 days 01:17:14.067000,0 days 01:17:47.125000,285.0,295.0,210.0,307.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:16:17.417000,2025-12-07 13:21:24.480,1,1.0,False,,False,True,89.633,89.63300000000001
13,0 days 01:19:16.576000,VER,1,0 days 00:01:29.526000,14.0,1.0,,,17.984,38.599,32.943,0 days 01:18:05.109000,0 days 01:18:43.708000,0 days 01:19:16.651000,286.0,297.0,211.0,305.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:17:47.050000,2025-12-07 13:22:54.113,1,1.0,False,,False,True,89.526,89.526
